[2026-06-24 18:32:58] Setting loaded & applied: key='auto_start_countdown', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='per_question_custom_timer', value='0'
[2026-06-24 18:32:58] Setting loaded & applied: key='question_nav_mode', value='Semi Automatic'
[2026-06-24 18:32:58] Setting loaded & applied: key='enable_emergency_controls', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='prevent_multi_tabs', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='detect_refresh', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='full_screen_req', value='0'
[2026-06-24 18:32:58] Setting loaded & applied: key='block_copy_paste', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='disable_right_click', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='auto_submit_on_exit', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='auto_save_answers', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='auto_backup_data', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='recovery_restart', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='light_theme', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='dark_theme', value='0'
[2026-06-24 18:32:58] Setting loaded & applied: key='custom_colors', value='#4F46E5'
[2026-06-24 18:32:58] Setting loaded & applied: key='custom_bg', value=''
[2026-06-24 18:32:58] Setting loaded & applied: key='custom_fonts', value='Inter, sans-serif'
[2026-06-24 18:32:58] Setting loaded & applied: key='sponsor_logos', value=''
[2026-06-24 18:32:58] Setting loaded & applied: key='quiz_start_notif', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='question_change_notif', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='time_warn_notif', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='result_ready_notif', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='instant_result', value='0'
[2026-06-24 18:32:58] Setting loaded & applied: key='show_correct_ans', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='show_wrong_ans', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='show_total_score', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='show_rank', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='download_pdf', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='auto_gen_cert', value='0'
[2026-06-24 18:32:58] Setting loaded & applied: key='winner_cert', value='1'
[2026-06-24 18:32:58] Setting loaded & applied: key='part_cert', value='0'
